docs,query,operator_type,memory_latency_ms,memory_latency_ci_low_ms,memory_latency_ci_high_ms,mmap_latency_ms,mmap_latency_ci_low_ms,mmap_latency_ci_high_ms,mmap_to_memory_ratio,memory_hits,mmap_hits,results_equal
25000,short,BM25_TOPK,0.0008,-0.0014,0.0030,3.5786,3.4887,3.6685,4473.2500,7917,7917,true
25000,single,BM25_TOPK,0.0008,-0.0014,0.0030,3.9154,3.8653,3.9655,4894.2500,8744,8744,true
25000,sometimes,BM25_TOPK,0.0010,-0.0018,0.0038,3.5638,3.5003,3.6273,3563.8000,8141,8141,true
25000,south,BM25_TOPK,0.0010,-0.0018,0.0038,5.2104,5.1336,5.2872,5210.4000,8973,8973,true
25000,style,BM25_TOPK,0.0008,-0.0014,0.0030,6.6780,6.5480,6.8080,8347.5000,8072,8072,true
25000,third,BM25_TOPK,0.0008,-0.0014,0.0030,3.8620,3.7678,3.9562,4827.5000,8688,8688,true
25000,thus,BM25_TOPK,0.0006,-0.0011,0.0023,3.6952,3.6440,3.7464,6158.6667,8411,8411,true
25000,title,BM25_TOPK,0.0008,-0.0014,0.0030,4.1160,4.0573,4.1747,5145.0000,8185,8185,true
25000,women AND rights,BM25_TOPK,0.4904,0.4671,0.5137,5.8160,5.6381,5.9939,11.8597,2246,2246,true
25000,women AND science,BM25_TOPK,0.3782,0.3646,0.3918,5.8974,5.8259,5.9689,15.5933,1704,1704,true
25000,(feminism OR feminist) AND movement,COMPLEX,0.2082,0.1955,0.2209,3.6316,3.5592,3.7040,17.4428,440,440,true
25000,(five OR back) AND NOT result,COMPLEX,2.1532,2.1198,2.1866,11.7048,11.6198,11.7898,5.4360,6552,6552,true
25000,(five OR back) AND result,COMPLEX,2.7626,2.6931,2.8321,12.3532,12.2743,12.4321,4.4716,6448,6448,true
25000,(five OR caption) AND NOT single,COMPLEX,1.9698,1.9265,2.0131,10.3316,10.2800,10.3832,5.2450,7210,7210,true
25000,(five OR caption) AND single,COMPLEX,2.4328,2.3845,2.4811,10.8078,10.7353,10.8803,4.4425,5767,5767,true
25000,(five OR city) AND NOT back,COMPLEX,2.6164,2.5685,2.6643,14.8094,14.7636,14.8552,5.6602,6947,6947,true
25000,(five OR city) AND back,COMPLEX,3.5962,3.5089,3.6835,15.9948,15.8110,16.1786,4.4477,6782,6782,true
25000,(five OR country) AND NOT thus,COMPLEX,2.2974,2.2238,2.3710,12.6692,12.2515,13.0869,5.5146,7414,7414,true
25000,(five OR country) AND thus,COMPLEX,3.1714,2.9566,3.3862,13.5838,13.3325,13.8351,4.2832,5233,5233,true
25000,(five OR death) AND NOT developed,COMPLEX,2.9646,2.7664,3.1628,13.2472,12.8786,13.6158,4.4685,7535,7535,true
25000,(five OR death) AND developed,COMPLEX,3.3784,3.2661,3.4907,13.5310,13.2827,13.7793,4.0052,5731,5731,true
25000,(five OR developed) AND NOT series,COMPLEX,2.2890,2.1368,2.4412,12.4086,12.2973,12.5199,5.4210,6623,6623,true
25000,(five OR developed) AND series,COMPLEX,3.0422,2.8960,3.1884,30.0160,18.4094,41.6226,9.8665,6394,6394,true
25000,(five OR either) AND NOT making,COMPLEX,2.1772,2.1330,2.2214,10.7664,10.6744,10.8584,4.9451,6563,6563,true
25000,(five OR either) AND making,COMPLEX,2.5260,2.4993,2.5527,11.3336,11.2740,11.3932,4.4868,6515,6515,true
25000,(five OR established) AND NOT either,COMPLEX,2.1344,2.0725,2.1963,11.6684,11.5521,11.7847,5.4668,7108,7108,true
25000,(five OR established) AND either,COMPLEX,2.7080,2.4737,2.9423,12.2016,12.1100,12.2932,4.5058,5604,5604,true
25000,(five OR further) AND NOT named,COMPLEX,2.0180,2.0049,2.0311,11.3308,11.1920,11.4696,5.6149,6452,6452,true
25000,(five OR further) AND named,COMPLEX,2.6390,2.5865,2.6915,12.0174,11.9651,12.0697,4.5538,6469,6469,true
25000,(five OR important) AND NOT further,COMPLEX,1.9936,1.9480,2.0392,11.3552,11.2579,11.4525,5.6958,6265,6265,true
25000,(five OR important) AND further,COMPLEX,2.6448,2.5934,2.6962,12.1552,12.0951,12.2153,4.5959,6934,6934,true
25000,(five OR included) AND NOT death,COMPLEX,2.0270,1.9725,2.0815,12.2638,12.2428,12.2848,6.0502,6219,6219,true
25000,(five OR included) AND death,COMPLEX,3.0384,2.9711,3.1057,13.1252,13.0332,13.2172,4.3198,6307,6307,true
25000,(five OR less) AND NOT south,COMPLEX,2.0728,2.0546,2.0910,13.0456,12.9451,13.1461,6.2937,7358,7358,true
